player,action,earlier_stint,later_stint,resolution
Javier López Vallejo,TRIMMED,Osasuna B 1992-1995,Club Atlético Osasuna 1994-1999,Osasuna B end shown as 1994
Nuri Şahin,NEEDS_REVIEW,Borussia Dortmund II 2005-2008,Borussia Dortmund 2005-2011,same start years; left as-is
Miroslav Klose,NEEDS_REVIEW,1. FC Kaiserslautern II 1999-2001,1. FC Kaiserslautern 1999-2004,same start years; left as-is
Mesut Özil,TRIMMED,SV Werder Bremen 2008-2010,Real Madrid Club de Fútbol 2009-2013,SV Werder Bremen end shown as 2009
Josu Urrutia,TRIMMED,Athletic Club 1977-1986,Athletic Bilbao B 1984-1990,Athletic Club end shown as 1984
Josu Urrutia,TRIMMED,Athletic Bilbao B 1984-1990,Athletic Club 1988-2003,Athletic Bilbao B end shown as 1988
Saúl Ñíguez,TRIMMED,Atlético Madrid B 2010-2013,Atlético Madrid 2012-2025,Atlético Madrid B end shown as 2012
Francisco Gallardo,NEEDS_REVIEW,Sevilla FC 1998-2000,Sevilla Atlético 1998-2000,same start years; left as-is
Danny Tiatto,NEEDS_REVIEW,Melbourne Knights Football Club 1992-1994,Bulleen Lions 1992-1994,same start years; left as-is
Kevin Campbell,TRIMMED,Nottingham Forest F.C. 1995-1998,Trabzonspor 1996-1999,Nottingham Forest F.C. end shown as 1996
Quique Álvarez,TRIMMED,FC Barcelona Atlètic 1993-1997,FC Barcelona 1995-1998,FC Barcelona Atlètic end shown as 1995
Gonzalo Bergessio,TRIMMED,Club Atlético Platense 2001-2005,Club Sport Emelec 2003-2006,Club Atlético Platense end shown as 2003
Álex Baena,TRIMMED,Villarreal CF B 2019-2021,Villarreal CF 2020-2025,Villarreal CF B end shown as 2020
Fernando Giner,NEEDS_REVIEW,Valencia CF Mestalla 1982-1985,Valencia CF 1982-1995,same start years; left as-is
